date,orders,units,revenue,freight_value,avg_review_score,on_time_rate
2016-09-04,1,2,72.89,63.34,1.0,0
2016-09-05,1,1,59.50,15.56,1.0,0
2016-09-15,1,3,134.97,8.49,1.0,0.0
2016-10-02,1,1,100.00,9.34,1.0,0
2016-10-03,8,8,463.48,131.66,3.0,1.0
2016-10-04,60,69,9940.96,1354.52,3.754,0.968254
2016-10-05,42,56,8343.25,1302.69,3.574,1.0
2016-10-06,49,58,7960.51,1170.72,3.431,1.0
2016-10-07,45,52,7228.05,907.92,3.388,1.0
2016-10-08,40,45,8441.85,941.52,3.956,1.0
2016-10-09,26,34,3336.99,681.99,3.235,1.0
2016-10-10,37,40,3692.57,800.82,3.949,0.972973
2016-12-23,1,1,10.90,8.72,5.0,1.0
2017-01-05,32,32,396.90,310.37,4.906,1.0
2017-01-06,4,4,916.38,71.90,4.75,1.0
2017-01-07,4,5,1351.90,96.09,2.6,0.8
2017-01-08,6,6,709.58,100.05,3.333,1.0
2017-01-09,5,6,673.79,100.72,3.0,0.5
2017-01-10,6,6,1434.87,136.30,3.5,1.0
2017-01-11,12,12,2776.16,286.17,3.833,1.0
2017-01-12,13,15,2234.58,268.11,3.733,0.857143
2017-01-13,11,11,2505.58,275.14,4.3,1.0
2017-01-14,18,18,1112.69,386.88,3.588,0.9375
2017-01-15,14,21,2199.57,351.77,4.143,1.0
2017-01-16,19,24,3307.92,400.48,4.227,1.0
2017-01-17,32,37,3302.53,591.08,4.284,1.0
2017-01-18,33,35,4032.36,651.02,3.812,0.96875
2017-01-19,29,35,3553.95,586.21,4.2,0.971429
2017-01-20,28,39,4035.83,620.22,4.462,1.0
2017-01-21,24,36,2458.60,636.17,3.417,1.0
2017-01-22,30,33,3619.27,522.60,4.091,1.0
2017-01-23,39,54,6581.47,972.42,3.407,0.941176
2017-01-24,40,44,5955.17,828.36,4.341,1.0
2017-01-25,62,69,8977.23,1362.98,3.754,0.984127
2017-01-26,85,100,13157.66,1953.97,4.26,0.948454
2017-01-27,61,76,11432.95,1323.20,4.105,1.0
2017-01-28,29,30,5211.01,672.00,4.033,1.0
2017-01-29,35,47,6457.66,703.00,4.298,0.954545
2017-01-30,51,75,10801.13,1097.00,4.151,1.0
2017-01-31,67,85,11116.13,1571.41,4.096,0.925
2017-02-01,67,70,8219.75,1350.74,4.029,0.984375
2017-02-02,68,75,8917.64,1557.66,4.36,0.959459
2017-02-03,57,62,10183.74,1242.25,3.984,0.965517
2017-02-04,66,72,13968.16,1749.05,4.042,0.957143
2017-02-05,75,83,8503.79,1649.45,4.11,0.987805
2017-02-06,81,88,9539.44,1545.36,4.126,0.964286
2017-02-07,111,127,14143.48,2380.73,4.26,0.98374
2017-02-08,90,99,11958.27,2068.67,4.283,0.98913
2017-02-09,77,82,9190.29,1653.88,4.037,0.948718
2017-02-10,66,74,14222.64,1445.36,4.203,0.971429
2017-02-11,45,51,4307.56,925.59,4.353,0.960784
2017-02-12,63,66,15126.15,1520.18,4.2,0.984375
2017-02-13,76,88,10785.15,2100.72,3.795,0.988372
2017-02-14,71,80,12694.11,1648.89,4.025,0.973333
2017-02-15,60,63,6770.15,1261.37,4.097,1.0
2017-02-16,52,57,6348.04,1107.24,4.158,0.981481
2017-02-17,45,56,6801.26,1257.95,3.857,0.964286
2017-02-18,52,63,7297.33,1153.81,4.355,0.984127
2017-02-19,40,44,3797.90,679.75,3.477,1.0
2017-02-20,63,72,7878.30,1279.00,3.859,0.895522
2017-02-21,41,47,8285.64,1047.82,3.783,0.97561
2017-02-22,61,68,8033.05,1299.16,3.735,0.965517
2017-02-23,59,73,6940.82,1628.80,4.068,0.971429
2017-02-24,62,73,6682.21,1216.54,4.278,0.957143
2017-02-25,42,46,4196.59,815.72,3.696,1.0
2017-02-26,45,52,5446.68,1049.78,3.519,0.857143
2017-02-27,43,53,5844.12,987.17,4.212,0.921569
2017-02-28,55,67,11220.76,1354.96,3.851,0.938462
2017-03-01,95,113,12555.41,2099.28,4.097,0.963964
2017-03-02,68,76,11377.00,1506.06,4.203,0.931507
2017-03-03,72,80,12364.44,1554.70,4.125,0.95
2017-03-04,77,86,12658.51,1932.03,3.977,0.935065
2017-03-05,72,82,6954.62,1495.69,4.333,0.935065
2017-03-06,99,114,10336.64,2084.67,4.053,0.954128
2017-03-07,81,98,11883.52,1847.12,4.133,0.947368
2017-03-08,78,88,14612.46,1975.98,4.0,0.950617
2017-03-09,92,114,11705.54,2099.07,3.991,0.909091
2017-03-10,88,99,12358.87,2160.05,4.202,0.978947
2017-03-11,71,80,10852.97,1632.45,3.911,0.974026
2017-03-12,64,71,6612.16,1241.02,4.188,0.971429
2017-03-13,111,118,16958.05,2348.01,3.912,0.917431
2017-03-14,99,114,14243.66,2299.32,3.956,0.954545
2017-03-15,107,121,14999.33,2216.60,4.117,0.930435
2017-03-16,103,127,14269.78,2379.97,3.819,0.887097
2017-03-17,65,79,11970.40,1640.88,4.101,0.935897
2017-03-18,73,77,16433.82,1504.67,4.117,0.972973
2017-03-19,56,59,6649.34,1078.74,4.175,0.983051
2017-03-20,116,127,17096.49,2510.81,4.16,0.927419
2017-03-21,93,105,11349.13,1887.59,3.971,0.970874
2017-03-22,105,122,14188.97,2201.17,4.103,0.958678
2017-03-23,111,134,16375.55,2420.38,4.15,0.960938
2017-03-24,77,85,10177.87,1492.58,4.0,0.939759
2017-03-25,75,85,9423.04,1641.23,3.824,0.914634
2017-03-26,64,69,6320.95,1321.08,4.044,0.882353
2017-03-27,109,120,16356.97,2375.62,4.16,0.957627
2017-03-28,102,116,12373.11,2253.57,4.095,0.945455
2017-03-29,74,85,8660.54,1548.57,4.035,0.951807
2017-03-30,74,83,10025.60,1409.40,4.048,0.962963
2017-03-31,70,73,12199.56,1545.98,4.014,0.916667
2017-04-01,67,69,17697.37,1356.54,4.382,0.955882
2017-04-02,65,78,9129.88,1475.92,4.359,0.987013
2017-04-03,72,87,9156.76,1620.14,4.1,0.948718
2017-04-04,96,109,12301.65,1851.34,4.213,0.93578
2017-04-05,96,102,18902.94,1871.61,4.392,0.919192
2017-04-06,95,110,23168.89,2073.92,3.791,0.96
2017-04-07,85,96,13300.65,1743.07,4.105,0.923913
2017-04-08,66,71,8785.09,1268.49,3.859,0.927536
2017-04-09,73,78,8222.65,1466.76,3.857,0.958904
2017-04-10,87,95,11732.31,1759.79,3.863,0.934783
2017-04-11,77,84,8296.51,1506.07,4.048,0.9375
2017-04-12,63,66,8209.20,1198.74,3.815,0.875
2017-04-13,60,64,9691.43,1522.50,4.143,0.921875
2017-04-14,53,60,8168.66,1363.70,3.8,0.907407
2017-04-15,52,55,8333.94,1057.62,3.964,0.884615
2017-04-16,49,52,5455.96,1058.84,3.942,0.88
2017-04-17,65,68,9416.67,1348.90,3.824,0.901639
2017-04-18,71,84,21286.72,2147.14,4.19,0.928571
2017-04-19,97,112,12103.46,1837.79,3.757,0.87037
2017-04-20,96,115,13373.14,2349.25,3.73,0.869159
2017-04-21,68,77,8457.71,1652.26,3.797,0.92
2017-04-22,83,94,12860.18,2005.23,4.117,0.946237
2017-04-23,86,91,10038.95,1642.37,4.056,0.88764
2017-04-24,115,135,15150.03,2561.55,3.791,0.904
2017-04-25,111,123,14671.74,2495.92,4.107,0.898305
2017-04-26,125,143,15919.75,2776.34,4.014,0.919118
2017-04-27,79,101,10300.71,2090.18,4.218,1.0
2017-04-28,98,108,15790.49,2272.80,3.972,0.913462
2017-04-29,73,86,11912.63,1774.39,3.919,0.975904
2017-04-30,68,71,8091.16,1345.84,4.127,0.956522
2017-05-01,116,131,12580.27,2216.50,3.969,0.944444
2017-05-02,125,136,17640.20,2667.57,4.126,0.93985
2017-05-03,102,111,10053.56,2082.82,4.153,0.927273
2017-05-04,108,122,13508.55,2305.41,4.289,0.983471
2017-05-05,110,123,13969.76,2372.75,3.902,0.982906
2017-05-06,107,127,16219.98,2372.82,4.254,0.98374
2017-05-07,109,120,17167.87,2556.55,4.034,0.981818
2017-05-08,122,143,16148.41,2874.25,4.387,0.95
2017-05-09,125,154,20837.05,3049.07,4.227,0.95302
2017-05-10,115,124,20927.49,2322.41,4.198,0.923077
2017-05-11,126,138,18164.55,3017.70,4.163,0.941176
2017-05-12,113,123,12635.71,2467.85,3.926,0.921053
2017-05-13,73,81,9118.65,1547.74,3.741,0.972973
2017-05-14,112,129,15219.70,2321.22,4.141,0.928
2017-05-15,154,171,17962.03,3458.94,3.947,0.96988
2017-05-16,151,172,21174.88,3189.82,4.097,0.976471
2017-05-17,141,157,18343.93,3052.40,4.295,0.967532
2017-05-18,125,140,18245.13,2611.38,3.914,0.964029
2017-05-19,144,168,18397.67,3120.01,4.025,0.963415
2017-05-20,72,80,10632.41,1722.06,4.128,0.974359
2017-05-21,148,164,17426.20,2942.33,4.291,0.981366
2017-05-22,148,167,25414.20,3492.40,4.138,0.981707
2017-05-23,125,146,17798.38,2818.68,3.958,0.948529
2017-05-24,141,159,23350.97,3244.34,4.236,0.955414
2017-05-25,105,120,15383.79,2402.90,4.342,0.947368
2017-05-26,78,93,10651.18,1844.14,4.097,0.978261
2017-05-27,81,93,14139.51,1917.88,4.253,0.955056
2017-05-28,98,106,9262.62,1844.62,4.41,0.981132
2017-05-29,158,178,18912.86,3114.66,4.017,0.982456
2017-05-30,102,118,14345.48,2335.59,4.271,0.973684
2017-05-31,126,142,20438.15,2833.00,4.282,0.977612
2017-06-01,124,136,19305.25,2457.08,3.933,0.977778
2017-06-02,126,135,19131.33,2472.64,4.185,0.962121
2017-06-03,89,101,10450.35,1815.09,4.021,0.95
2017-06-04,101,106,13863.23,2035.25,4.387,0.971154
2017-06-05,146,163,24184.55,2833.61,4.025,0.968553
2017-06-06,133,156,14589.15,2718.84,4.059,0.972603
2017-06-07,124,132,12771.66,2626.01,4.183,0.953846
2017-06-08,137,151,18503.08,3597.37,4.205,0.97973
2017-06-09,106,127,16051.35,2538.48,4.157,0.992063
2017-06-10,76,83,8220.35,1586.83,3.951,1.0
2017-06-11,113,126,14303.56,2305.87,4.304,0.959677
2017-06-12,125,149,14803.11,2487.66,4.088,0.924138
2017-06-13,125,141,14016.09,2563.36,4.199,0.977941
2017-06-14,130,147,20441.67,2931.92,4.01,0.924138
2017-06-15,107,120,12737.67,2179.14,4.008,0.948276
2017-06-16,97,105,12908.23,1869.46,4.183,0.941176
2017-06-17,74,84,11264.77,1481.38,3.952,0.939024
2017-06-18,90,101,17836.16,1897.53,4.198,0.989796
2017-06-19,156,179,22764.83,3168.61,4.085,0.948571
2017-06-20,92,107,10968.33,3101.41,3.804,0.971429
2017-06-21,35,38,6183.65,1087.93,4.395,0.945946
2017-06-22,88,98,8826.81,1782.23,4.026,0.946237
2017-06-23,107,117,13282.98,2415.52,4.41,1.0
2017-06-24,76,81,8325.65,1688.05,4.1,0.924051
2017-06-25,105,117,17646.18,3088.16,3.957,0.981132
2017-06-26,72,83,13414.76,1785.56,4.169,0.948718
2017-06-27,140,153,16681.61,2894.35,4.23,0.980392
2017-06-28,120,128,14655.82,2396.03,4.157,0.959677
2017-06-29,110,122,12169.53,2105.51,4.314,0.959016
2017-06-30,93,97,12736.89,2013.56,4.443,0.958763
2017-07-01,80,94,12151.75,1987.25,4.074,0.989011
2017-07-02,105,118,11489.44,2183.29,4.293,0.973913
2017-07-03,117,131,16611.05,2647.06,4.172,0.975806
2017-07-04,123,134,15484.24,2456.40,4.076,0.923664
2017-07-05,140,162,20789.56,3348.65,4.112,0.96875
2017-07-06,148,162,22223.72,3492.59,4.242,0.974026
2017-07-07,117,134,13662.87,2543.99,4.412,0.984733
2017-07-08,83,91,10206.86,1690.21,4.422,1.0
2017-07-09,90,98,8197.38,1878.30,3.969,0.96875
2017-07-10,140,156,17326.93,3070.41,4.324,0.929487
2017-07-11,162,184,20213.79,3656.78,4.246,0.972222
2017-07-12,149,166,19180.22,3263.65,4.006,0.95679
2017-07-13,137,155,14531.00,3455.75,3.955,0.95302
2017-07-14,149,168,18745.15,3088.11,4.102,0.994012
2017-07-15,98,112,10930.56,2197.50,4.176,0.972973
2017-07-16,112,148,13421.60,2583.64,3.683,0.809859
2017-07-17,163,194,21554.98,3808.57,4.117,0.963731
2017-07-18,190,220,28238.20,3948.13,4.068,0.949541
2017-07-19,150,171,16545.34,3165.09,4.158,0.982249
2017-07-20,141,168,19174.08,3236.89,4.217,0.975904
2017-07-21,114,131,13448.85,2336.81,3.924,0.968992
2017-07-22,88,101,11456.81,1861.73,4.094,0.98
2017-07-23,104,107,12117.61,1888.11,4.29,0.990385
2017-07-24,161,180,19662.62,3197.52,4.235,0.954286
2017-07-25,151,171,17482.53,3080.93,3.994,0.963415
2017-07-26,123,146,11265.23,2634.25,4.356,0.978571
2017-07-27,123,138,15693.93,3035.15,4.156,0.970588
2017-07-28,132,153,20043.16,3233.14,4.346,0.979866
2017-07-29,115,130,15964.27,2407.64,3.938,0.959677
2017-07-30,117,130,12944.87,2396.81,4.18,0.992126
2017-07-31,147,166,17272.88,3165.79,4.215,0.962963
2017-08-01,165,185,21745.04,3668.29,4.231,0.961326
2017-08-02,155,172,18147.00,2975.27,4.006,0.975904
2017-08-03,146,166,19125.51,3093.53,4.433,0.969512
2017-08-04,141,161,18361.62,3267.99,4.311,0.974684
2017-08-05,115,126,11946.91,2518.93,4.317,0.983871
2017-08-06,108,122,14181.14,2783.97,4.078,0.957627
2017-08-07,157,182,23257.84,3371.50,4.297,0.967033
2017-08-08,146,159,18661.63,2865.92,4.314,0.955975
2017-08-09,142,161,20756.52,3261.50,4.34,0.987421
2017-08-10,155,179,19961.55,3361.66,4.17,0.965714
2017-08-11,138,164,20039.24,3280.56,4.232,0.981132
2017-08-12,97,108,13980.86,2213.23,4.2,0.970588
2017-08-13,92,109,12334.19,2157.26,4.165,0.981308
2017-08-14,156,176,18156.37,3431.83,4.168,0.982659
2017-08-15,193,210,23727.26,4213.41,4.182,0.975124
2017-08-16,173,207,23950.42,4047.52,4.285,0.955
2017-08-17,155,169,18357.91,3380.04,4.172,0.952096
2017-08-18,146,160,17132.01,2893.86,4.228,0.974194
2017-08-19,108,128,12910.13,2248.77,4.113,0.983607
2017-08-20,103,118,12873.78,2081.39,4.12,0.983051
2017-08-21,177,212,22219.35,3800.37,4.232,0.975845
2017-08-22,136,161,16627.12,3122.35,4.362,0.95
2017-08-23,111,158,15873.61,2720.18,4.152,0.981013
2017-08-24,126,143,13361.11,2621.40,4.19,0.964286
2017-08-25,123,135,15163.32,2240.40,4.104,0.945736
2017-08-26,93,99,10141.69,1912.96,4.204,0.968421
2017-08-27,118,143,13367.88,2927.58,4.115,0.985507
2017-08-28,155,172,22244.52,3452.07,4.304,0.964072
2017-08-29,137,155,33756.48,3269.21,4.184,0.941176
2017-08-30,178,198,30938.16,4026.49,4.358,0.979275
2017-08-31,148,172,20671.51,3023.48,4.193,0.94012
2017-09-01,158,183,28473.13,3977.65,3.997,0.955056
2017-09-02,104,118,18128.66,2350.52,4.508,0.991379
2017-09-03,125,142,27795.41,3155.38,4.408,0.985714
2017-09-04,148,161,24937.98,3447.24,4.275,0.95
2017-09-05,154,181,20981.55,3547.42,3.883,0.983146
2017-09-06,140,157,25624.61,3197.22,4.045,0.916129
2017-09-07,97,104,16893.50,2203.26,4.388,0.961538
2017-09-08,115,133,11883.47,2639.94,4.353,0.953488
2017-09-09,106,119,15082.53,2593.22,4.128,0.974138
2017-09-10,135,152,17810.27,3010.73,4.187,0.912752
2017-09-11,178,193,23376.78,3608.87,4.23,0.947644
2017-09-12,204,244,27136.01,5100.93,3.934,0.9125
2017-09-13,205,228,27593.28,4284.41,4.084,0.915929
2017-09-14,166,198,22557.76,3944.75,3.858,0.917949
2017-09-15,150,165,18373.26,3183.41,4.123,0.943396
2017-09-16,129,137,21147.37,2892.94,4.059,0.902256
2017-09-17,125,136,19979.42,2846.62,4.097,0.926471
2017-09-18,183,218,28487.81,4047.44,4.126,0.892523
2017-09-19,153,179,20057.95,3367.71,3.978,0.87931
2017-09-20,161,187,22102.55,3929.60,4.242,0.951087
2017-09-21,150,176,19015.53,3442.66,4.057,0.982353
2017-09-22,136,153,16255.12,2779.81,4.305,0.98
2017-09-23,85,99,10513.50,1920.29,4.153,1.0
2017-09-24,113,124,13049.75,2467.94,4.375,0.98374
2017-09-25,133,154,17987.10,2957.49,4.124,0.993333
2017-09-26,179,196,21681.90,3559.76,4.403,0.958115
2017-09-27,144,174,20646.92,3436.31,4.133,0.982759
2017-09-28,142,165,23264.52,3084.58,4.133,0.981595
2017-09-29,116,135,30878.56,2825.44,3.922,0.960938
2017-09-30,109,120,12685.49,2193.68,4.0,0.974138
2017-10-01,128,145,18821.27,3088.16,4.072,0.978571
2017-10-02,142,166,21764.65,3413.65,3.946,0.981707
2017-10-03,198,218,26118.57,4270.55,3.986,0.971831
2017-10-04,157,171,21197.70,3589.88,4.284,0.994118
2017-10-05,140,171,25517.52,3612.31,3.669,0.952663
2017-10-06,126,154,17084.67,2913.81,3.877,0.881579
2017-10-07,103,117,15376.02,2372.49,4.06,0.947368
2017-10-08,124,137,16539.01,2885.08,4.277,0.985401
2017-10-09,191,223,30337.79,4651.74,4.109,0.926941
2017-10-10,180,206,28151.13,3814.33,4.129,0.929293
2017-10-11,156,178,22669.37,3247.03,4.032,0.953757
2017-10-12,140,158,18754.23,3447.05,3.962,0.967532
2017-10-13,151,165,22881.19,3524.22,4.116,0.926829
2017-10-14,116,128,13528.82,2656.64,4.15,0.96
2017-10-15,120,137,18751.85,2547.30,4.058,0.962687
2017-10-16,194,226,30580.16,4527.47,4.14,0.940367
2017-10-17,197,259,29675.77,5080.50,4.078,0.912698
2017-10-18,176,223,27257.79,4244.07,4.207,0.973094
2017-10-19,175,195,23223.71,3685.90,3.918,0.958333
2017-10-20,120,131,18626.20,2936.88,4.145,0.96124
2017-10-21,110,124,14982.45,2569.59,4.025,0.974576
2017-10-22,157,182,19786.81,3447.56,3.967,0.943503
2017-10-23,158,189,22278.10,3557.42,3.939,0.966667
2017-10-24,164,193,22071.27,3667.39,4.317,0.947644
2017-10-25,154,171,17507.06,3224.53,4.2,0.976331
2017-10-26,143,179,22573.15,3744.62,3.893,0.931818
2017-10-27,131,156,20377.58,2774.87,4.19,0.922581
2017-10-28,86,97,16483.61,2438.87,4.154,0.978947
2017-10-29,130,160,17267.75,3015.85,4.259,0.949686
2017-10-30,144,169,20221.23,3109.65,4.12,0.888199
